1.Reference_Arabic_Audio	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية، العاصفة شبه الاستوائية جيري.	تشكلت في المحيط الأطلسي اليوم 10 عاصفة مسمى لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري.	The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.	In the Atlantic Ocean today, 10 storms have been formed, known as the Atlantic hurricane season, the subtropical storm Jerry.
تغادر الحافلات المحطة الداخلية بين المناطق (عبر النهر) في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30.	تغادر الحافلات المحاطة الداخلية بين المناطق عبر النهر في خلال اليوم، على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجاكارا بومثانج تغادر بين 36 و 37.	Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30.	Inter-regional surrounded buses leave across the river during the day, although most of them, especially to the east and Jakarta Pommange, leave between 36 and 37.
يتمُّ دعْم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	يتم دعم التعلم التفاعلي في البرنامج داخلياً ويهدف إلى ترحل أسئلة والتحفيز، وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	Virtual Scaffolds are internalized in the software and are meant to question, prompt, and explain procedures that may have been to challenging for the student to handle alone.	Interactive learning in the programme is supported internally and aims to move away from questions and motivation, and to explain actions that may be difficult for a student to deal with on his or her own.
نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.	نصنع بيوتنا وملابسنا من النباتات، معظم الطعام الذي نتناوله من النباتات كذلك، بدون النباتات، لا يمكن للحيوانات البقاء.	We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.	We make our homes and clothes from plants, most of the food we eat from plants as well, without plants, animals cannot survive.
إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال.	إن عرض الصوت والضوء الهرمي واحداً من أمتع الأشياء الموجودة بالمنطقة للأطفال.	The pyramid sound and light show is one of the most interesting things in the area for kids.	The display of sound and hierarchical light is one of the most enjoyable things in the region for children.
تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت، إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل.	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت، إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل.	Remember that even though music on the main stages may have finished, there may be sections of the festival that will keep playing music until late into the night.	Remember that although the music on the main platforms may be over, there are sections of the festival that may continue to play music until late at night.
أدى ضاربا الكرة المتمركزين في الوسط، ساشين تيندولكار وراهول درافيد، جيدًا وأقاما شراكة أكسبت للفريق مائة نقطة.	أدى ضاربة الكرة المتمركزين في الوسط ساشين تندولكار وراهول درافد جيداً وأقامة شراكة أجسابة للفريق 100 نقطة.	Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.	The mid-level football hitter, Sachin Tendulkar and Rahul Dravd, did well and established a 100-point partnership for the team.
ومنذ عام 1988، توجّب أن تكون صناديق الاقتراع شفافة بحيث يمكن للناخبين والمراقبين أن يتأكدوا من عدم وجود مغلفات في بداية التصويت، وأنه لا يتم إضافة مغلفات إلا مغلفات الناخبين المسجلين والمصرّح لهم حسب الأصول والمفوضين.	منذ عام 1988 توجّب أن تكون صنديق الإقتراع شفافة، بحيث يمكن للناخبين والمراقبين أن يتأكدوا من عدم وجود مغلفات في بداية التصويد، وأنه لا يتم إضافة مغلفات إلا مغلفات الناخبين المسجلين والمصرح لهم حسب الأصول والمفوزين.	Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.	Since 1988, the ballot box has had to be transparent, so that voters and observers can ensure that there are no envelopes at the beginning of the shooting, and that only duly registered and authorized voter envelopes are added.
قبل وصول القوات، لم تواجه هايتي مشاكل متعلقة بالمرض منذ القرن التاسع عشر.	قبل وصول القوات، لم تواجه حيتي مشاكل متعلقة بالمارض منذ القرن التاسع عشر.	Prior to the arrival of troops, Haiti had not encountered problems related to the disease since the 1800s.	Before the arrival of the troops, my life has not had disease-related problems since the nineteenth century.
بصفته رياضيّاً شاملاً، يمكن للنّمر التّسلق (وإن لم يكن ذلك بشكلٍ جيد) والسّباحة والقفز لمسافاتٍ طويلةٍ والسّحب بقوّة خمسة أضعاف قوّة الإنسان.	بسفة رياضيًا شاملًا يمكن للنمر التسلق، وإن لم يكن ذلك بشكل جيد، والسباحة والقفز لمسافات طويلة، والسحب بقوة 5 أضعف قوية الإنسان.	A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.	An all-out athlete that the tiger can climb, albeit not well, swim, jump long distances, and pull five times the most powerful man.
