id	audio_path	text_source	text_en
618	2577025266148183505.wav	Bir neçə atışmada özlərini Moriori adlandıran bu qəbilələr məhv edildi.	They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out
355	2603703414993398273.wav	Modern buz konkilərinin üstündəki bıçağın, arasında içəriyə doğru əyilmiş iki kənarı var. Həmin iki kənar yan tərəfə əyildikdə belə, buzda daha rahat hərəkəti təmin edir.	The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.
405	9856063838856763819.wav	U-boats adlanan sualtı qayıqlara sahib almanlar naviqasiya və sualtı qayıqların idarə edilməsi işində peşəkar idilər.	German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.
63	6302788815643330120.wav	Dünyadakı ən böyük roman katolik ölkəsi Braziliya hesab olunur, buna görə də Roma Katolik Kilsəsi, ölkədə eyni cinsdən olan şəxslərin nikahının qanuniləşdirilməsinə davamlı qarşı çıxır.	Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.
515	3489129138440108138.wav	Məlumatı əldə etmə yanaşması fərqli idi. Fərdə bir şeyi təzyiq göstərməklə xatırlatmaq bu yanaşmada yer almırdı, amma əsas diqqət mətnin xatırlanması qabiliyyətinə yönəldilmişdi.	The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.
1311	14148857673775554108.wav	Televizorun pultuna oxşayan kontroller üçölçülü boşluqda vəziyyətin dəqiq ölçülməsi məqsədilə istifadəçinin televizoruna yaxın 2 sensordan istifadə edir.	Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.
1077	11006570377246430984.wav	"Simon ""Simpsonlar""dan əvvəl bir neçə şouda fərqli vəzifələrdə fəaliyyət göstərib."	Before The Simpsons Simon had worked on several shows in various positions.
949	5746206466891788730.wav	Əmin olun ki, limana çatan kimi hər şey olduqca aydın görünəcək. Burada başqa qayıq avtostopçuları ilə tanış olacaq və onlarla məlumat mübadiləsi edə biləcəksiniz.	Be assured that once you hit the marinas everything will be pretty obvious. You will meet other boat hitchhikers and they will share their information with you.
1330	2041020335875306762.wav	"Keçən ay Wikinews-a verdiyi müsahibəsində, ""Commons""un adminstratoru Adam Kuerden, silinən məzmunlarla əlaqəli hiss etdiyi məyusluğu dilə gətirdi."	Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.
55	14641464307261914354.wav	Avstraliyalı xəzinədar və böyük ehtimalla Liberal Partiyanın lideri olaraq Baş Nazir Con Hovardı əvəz edəcək adam Peter Kostello, Avstraliyada bir atom enerji sənayesini dəstəklədi.	Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.
711	16545613803626366225.wav	Təpənin yaxınlığında içindən keçməli olduğunuz kiçik, olduqca alçaq və dar bir mağara var.	There's a tiny cave near the top that must be passed through, it is quite low and a rather tight squeeze.
930	3492620404198633080.wav	Eyni uçuş reysi bəzən, müxtəlif firmalarla olan müqavilələr səbəbilə, ayrı-ayrı qiymətlərdə çıxa biləcəyi üçün axtarış nəticələrini müqayisə etməyə və bileti almamış, aviaşirkətin veb-saytına baxmağa dəyər.	Sometimes the same flight can have vastly differing prices at various agregators and it pays to compare search results and to also look at the website of the airline itself before booking.
503	13361112392929887657.wav	Məsələn, uşaqlar mənsub olduqları irqi azlıq haqqında məktəbdə yaxşı nəticə göstərməməsi kimi bir stereotip olduğunu öyrənən zaman məktəbdə həqiqətən də yaxşı nəticələr göstərməməyə başlayırlar.	For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.
919	9784706874499919180.wav	Ölkəniz xaricində olan yerləri gəzmək üçün smartfonunuzdakı GPS naviqasiyası tətbiqindən istifadə etmək, ən asan və əlverişli yol ola bilər.	Using GPS navigation apps on your smartphone can be the easiest and most convenient way to navigate when out of your home country.
806	1827825752683071926.wav	Xüsusilə sığorta çərçivəsindədirsə, evdə gözünüzü müayinə etdirə bilər və xəstə reseptini hər hansı bir səbəblə sənədləşdirmək üçün özünüzlə götürə bilərsiniz.	Consider getting an eye exam at home, especially if insurance covers it, and bringing the prescription along to be filed elsewhere.
1218	14170864912469551914.wav	Təhlükəsiz ev, qayğıkeş baxıcı, sabit təhsil və etibarlı səhiyyənin təmin edilməsi qəyyum ailə sistemində mütləqdir.	Our foster care system is supposed to provide safe homes, loving caregivers, stable education, and reliable health care.
142	13057659146985590689.wav	ABŞ-ın Milli Basketbol Assosiasiyası (NBA) çərşənbə günü COVID-19 ilə bağlı narahatçılıqlar səbəbilə, peşəkar basketbol mövsümünün açılışını təxirə saldı.	On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.
689	2818653177590212728.wav	Başqa yerdə vaxt keçirmək vaxtı məhdud olan qonaqlar üçün ən ideal variant olardı.	Visitors with limited time would be best to spend their time elsewhere.
139	6319669275863240347.wav	İnsanlar külək və dalğalar vasitəsilə havaya qalxan su damcılarını nəfəslərinə alsa, yoluxmuş ola bilərlər.	Humans can be affected by breathing affected water taken into the air by wind and waves.
367	15628667037206036279.wav	Ürək qanı vuran orqan kimi qan dövranı sisteminin ən əsas orqanıdır.	The major organ of the circulatory system is the heart, which pumps the blood.
454	8742686513128622959.wav	İnteraktiv dizayn bir layihənin tərkib hissələrinin bir-biri ilə əlaqələndirilməsini, amma eyni zamanda ayrılıqda da ifadəsini itirməməsini tələb edir.	Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.
1400	2022276717307100515.wav	Böyük bir körfəzin ətrafında yerləşən və dağlarla əhatə olunan Smirna şəhəri vaxtilə qədim şəhər olsa da, indi müasir, inkişaf etmiş, canlı kommersiya mərkəzi olan bir şəhərə çevrilib.	Once the ancient city of Smyrna, it is now a modern, developed, and busy commercial center, set around a huge bay and surrounded by mountains.
125	40101210420371338.wav	"Hek və Conson ""The Daily Show"" və ""The Colbert Report"" şoularından xeyli əvvəl, 1988-ci ildə Vaşinqton Universitetində tələbə olduqları dövrdə xəbərlərin və xəbər aparıcılarının parodiyasını nəzərdə tutan layihə düşünmüşdülər."	Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.
10	9966245091734288820.wav	Polis 11:20-də etirazçılara səki ilə geri qayıtmalarını bildirdi və qeyd etdi ki, nəqliyyat sıxlığının artmasını nəzərə alaraq etiraz hüquqlarından balanslı şəkildə istifadə etsinlər.	At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.
459	18230501026251837626.wav	Bu, ucuz böyüdücü fotoobyektivlərin fleşsiz zəif işıqlı şəraitlərdə istifadəsini çətinləşdirir.	This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
518	9672035243549220527.wav	Şimpanzenin əli və ayağı ölçü və uzunluq baxımından oxşardır. Bu da özünü onda göstərir ki, şimpanze əllərini içəriyə doğru qatlayıb gəzərkən əsas yük məhz əllərin üzərinə düşür.	The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking.
7	14973271381794084612.wav	Vidal, Katalanın paytaxt klubuna transfer edildikdən sonra komandası üçün 49 oyuna çıxıb.	Since moving to the Catalan-capital, Vidal had played 49 games for the club.
1449	15554242262418985843.wav	Zamanın sınağından sağlam çıxan mağaranın özündə Məhəmməd Peyğəmbərin ruhani cazibəsi ilə əlaqəli son dərəcə aydın bir təsəvvür yaranır.	he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.
66	6499688780380461942.wav	Etirazçılar, noyabr ayında Milli Konqresə təqdim etmək üçün petisiyaya 1,2 milyon imza toplamağı ümid edirlər.	Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.
1130	2557556079866130341.wav	Bir insanın daxili sakitlik səviyyəsi, o insanın bədənindəki və ruhundakı gərginlik səviyyəsi ilə əks nisbətdədir.	The amount of inner peace a person possesses correlates oppositely to the amount of tension in one’s body and spirit.
646	597142594346593787.wav	Doğrusu, öyrənmənin yalnız tək hədəfi yoxdur. Tədris prosesi tələbə ilə verilən bilik arasında olan təcrübədə yaranır.	In fact, there is not one good thing to learn.Learning takes place in the experience between the learner and the knowledge presented.
328	5047890535695843532.wav	Xorvatiyanın paytaxtı Zaqrebdə anadan olmuş Bobek, Belqradın Partizan komandasında oynadığı vaxtlarda tanınmağa başladı.	Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.
359	8564876818457119133.wav	"Onlar bunu ""foton"" adlanan kiçik bir işıq hissəciyini yaymaqla edirlər."	"They do this by emitting a tiny particle of light called a ""photon""."
86	6817281740687338772.wav	Pittmanın dediklərinə görə, şərtlər növbəti həftəyə qədər düzəlməyəcək.	Pittman suggested that conditions wouldn't improve until sometime next week.
901	18011277293883442925.wav	Məsələ bundadır ki, qar yapışqan xüsusiyyətə malikdir, ona görə də onun aşağıya doğru sürüşməsi üçün hər hansı bir təkan lazımdır, müəyyən həcmdə qarın sürüşməsi isə onun yerdə qalan hissəsi üçün təkanverici rolunu oynaya bilər.	The problem is that snow is sticky, so it needs some triggering to come down, and some snow coming down can be the triggering event for the rest.
478	17909248569327346373.wav	Bir kral kimi məbədin bərpası xərclərini ödəmək istədiyini bildiriən İskəndərin təklifi rədd edildi. Məbəd e.ə. 323-cü ildə İskəndərin ölümündən sonra yenidən bərpa edildi.	Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.
1411	6384404289993928463.wav	Bir çox monastır hazır gəlməyən qadınlara qapanmaq üçün çadra və ya şallar verir, ancaq öz şalınızı, xüsusilə də parlaq rəngli olanı özünüzlə gətirsəniz, girişdəki rahib və ya rahibə sizi gülər üzlə qarşılayacaq.	Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.
1062	16204476635592441800.wav	Elsuort Torpağı, Yarımadanın cənubunda Bellingshausen Dənizi ilə həmsərhəd bir bölgədir.	Ellsworth Land is the region south of the Peninsula, bounded by the Bellingshausen Sea.
1447	442021035481628602.wav	Cənubi Afrikanın Kvazulu-Natal əyalətində həkim Toni Mol tərəfindən dərmanlara son dərəcə müqavimət göstərən vərəm növü (XDR-TB) kəşf edildi.	Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.
863	4667658455665398890.wav	Amma dünyanın, bakterioloji faunasının sizin üçün yeni olan başqa bir hissəsində, problemlərlə daha çox qarşılaşa bilərsiniz.	But in other parts of the world, where the bacteriological fauna are new to you, you're far more likely to run into problems.
982	13058525747804986335.wav	Əgər yağış meşələrində gəzməyi, xüsusilə də yay aylarında planlaşdırmısınızsa, mığmığılara diqqət etməli olacaqsınız.	In summer, especially, you'll need to watch out for mosquitoes if you decide to hike through the rainforest.
1409	5770053623761720387.wav	Tasmaniya, Devonportdakı Mersey xəstəxanasının maliyyələşdirilməsini öz öhdəsinə götürən Federal Hökumətin bu addımı, əyalət hökuməti və federal millət vəkillərinin bəziləri tərəfindən noyabr ayında keçiriləcək federal seçki-qabağı bir şou kimi dəyərləndirildi.	Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.
167	8678143373945218297.wav	Deyvid Hedleyin cəsusluğu və informasiya toplaması sayəsində, Pakistanın Laskhar-e-Taiba militan qrupundan 10 nəfərdən ibarət silahlı şəxsin əməliyyat baş tutdu.	David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.
1094	5322031196218350712.wav	Ölüm hallarının əksəriyyəti, bəzən imkansız dərəcədə çətin olan axıntıya qarşı üzməyə çalışarkən, əmələ gələn yorğunluq nəticəsində baş verir.	Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.
1271	6240953637583962028.wav	Təbiətin qoyununda təşkil olunan turizm səfərləri, bitki, heyvan və vəhşi təbiət də daxil mənzərədən zövq qalma üçün təbii yerləri gəzməkdə maraqlı olan insanların diqqətini daha çox çəkir.	Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.
1308	869291165839197978.wav	Alman tərzi un məmulatları kifayət qədər dadlıdır. Bavariyada isə cənub qonşuları Avstriyada da olduğu kimi onlar olduqca çox və çeşidlidir.	German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.
1211	8884935553426526131.wav	Belə sənədlərə xarici dövlətlərin münasibəti olduqca dəyişkəndir.	Willingness of foreign governments to honour these documents is just as widely variable.
145	12069081629875483108.wav	"Efiopiyadakı Rift-Velli Tədqiqat Xidmətinin tədqiqatçısı və tədqiqatın həmmüəllifi Berhan Asfau bildirdi ki, ""bu hər şeyin geri qaytarılmalı olduğunu göstərir""."	"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw."
576	10618601598477071075.wav	Bu cür köçəri hiddətlənmə, yaxud da sürü halında yürüşlərin davam etmə müddəti təxminən 17 gündür.	Each of these nomadic rampages or marches lasts for approximately 17 days.
315	13562633185682106175.wav	O, öz qeydlərində bəzi valideynlərə kobud gələn ifadələrdən istifadə edib və deyilənə görə sinifdə də söyüş söyüb.	In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.
740	291982808585082599.wav	Kuk adaları, Polineziyada yerləşən Yeni Zelandiya ilə sərbəst əməkdaşlığa sahib və Sakit okeanın cənub hissəsinin mərkəzində olan bir ada ölkəsidir.	The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.
