1.Reference_Azerbaijani_Text	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
Elm adamları, planetlərin, xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl Yer planeti ilə toqquşduğu üçün Yer planetinin necə yarandığını başa düşməyə çalışır.	 Elim adamları planetlərin süsilə də quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuşduq üçün yer planetin ne ziyarandığını başa düşməyə çalışır.	elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır	The scientists try to figure out what the planet is visiting, since the stars with tails that decorate the planets collided with the planet Earth long ago.
"Onun 20 yaşlarında olduğu bildirilir. Biber açıqlamasında ""Bu faciəvi qəzanın birbaşa iştirakçısı olmasam da, düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır"" dedi."	 10-20 yaşlarında olduğu bildirlir. Biber asıqlamasında bu faciə və qəzanın birbaşa iştirakçısı olmasam da, düşüncülərin və dualarım hadisə qurbanının ailəsinin yanındadır, dedir.	onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi	He said that although I was not directly involved in the tragedy and accident, my thoughts and prayers are with the family of the victim.
Pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər.	 Pulcub kimi dərisi və dırnaxlar onu ayaqlara sahib buquşlar yumurta qoyabilir və tiranazavır rekslər kimi iki arx ayaqlarının üstündə gəzə bilirlər.	pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər	Like the pulcub, its skin and nails can lay eggs, and its legs can be used to walk on two hind legs, like the tyrannosaur rex.
Şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı, bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi, amma yağış damcıları o qədər sərt və böyük idi ki, dəriyə iynə kimi batırdı, sonrası göydən dolu yağdı, insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar.	 Şov başladıqdan sadece 5 dəyəqə sonra küləyəsməyə başladı. Bir dəyəqə keçməmiş küləyən çürət artıq sağda 70 km idi. Sonra yaqış gəldi, amma yaqış damcılar o qədər sərt və böyük idi ki, dəriyə iğne kimi batırdı. Sonrası qöydən doluyaqdı. İnsanlar təşvişlə və bağıraraq bir bilənin üstündən keçirəyə qasmağa başladılar.	şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar	And just five days after the show started, the wind started blowing, and the wind was already 70 kilometers to the right, and then the drops came, but the drops were so hard and big that they were soaked in the skin like a needle, and then the hole was filled with water, and people started to jump over a blade, screaming and shouting.
"""Maria"" adlanan qaranlıq qatların altında daha nazik, dağlıq yerlərin altında isə daha qalın görünür."	 Mari adlanan qaranlıq qahtların altında daha naziq, dahlıq yerlərin altında isə daha qalan görünür.	maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür	Under the dark curtains called Mari, it appears to be more naïve, and under the bright lands, more leftover.
"ABŞ-ın Geoloji Xidmətlər Bürosunun Astrologiya Heyətindən və Arizona ştatının Flagstaff şəhərində yerləşən Şimali Arizona Universitetindən olan Qlen Kuşinqin dediyinə görə, ""onların termal hərəkətləri, Yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil, ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir""."	 Abusun geologi xidmətlər bürosunun astrologi hiyyətindən və Arizona şudatının flux-staff şəhərində iləşən şimali Arizona üniversitetinə nə olan Glenn Cushingind elinə görə, onların tərmal hərəkətləri yəgər playetindəki kifaya qədər davamlı tempraturudur, siz dəstəkləyin böyük maharalar davlanır qədər stabil deyir. Onca bu həmin dərin dəriklərin torbaqda olması ilə lagəlidir.	abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir	According to Glenn Cushingind, an astrology clerk at the Bureau of Geological Services of the Abyss and a flux-staff at Northern Arizona University in Shudat, Arizona, their thermal movements are a steady temperament, until the pitch in the play, which you're supporting, is stable enough to be called the Great Maharajah, all of which is due to the deep holes in the bag.
Katalon dili Metroda müntəzəm olaraq verilən elanların əsas dilidir, lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə, o cümlədən İspan, İngilis, Fransız, Ərəb və Yapon dillərində verir.	 Katolub dili metrada minitəzim olaraq verilən eylənləri nəsəs dildir. Lakin automatılaşdırılmış sistem, panlaşdırılmalış problemlər barədə eylənlər fərqli dillərdə, o cübələdən İspan, İngiliz, Fransız, ərab və yapan dillərində verilir.	katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir	Catalogue is a generic language, but automated systems, and problems with panning, are available in different languages, from that language in Spanish, English, French, Arabic, and Japanese.
Körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına, yəni Braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır.	 Çörpünün istifadəyə verilişi 2017-ci Ebrahimə, yəni, Brazi ilə gömlük nəzarəti məntəgələrinin işlərinə bitirəcəyə vəxudda planlaşdırılır.	körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır	The launch of the soup is planned in the 2017 Ebrahim, i.e. Brazi, will finish the work of the garment control stations.
Əlbəttə bu ənənənin Xristian dini baxımından izahı var, amma bu xristianlıqdan əvvəl olan Baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər.	 Elbəxt də bu ənə nəni xristiyan deyini baxımından izahı var. Amma bu xristiyanlıqdan əvvəl olan baharın qərişi və məhsildarlığı səbəbillə də keşirlə bilər.	əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər	Elba may have a Christian explanation for this tradition, but the spring's harshness and fertility can also be attributed to the cause.
Yenə də, Şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir.	 Yenə də şəngin zonası bu baxımdan bir qədə tək dövlət funksiyasına malikdir.	yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir	Yet the Schengen zone has a single state function in this respect.
