id	audio_path	text_source	text_en
1372	3947646284842148906.wav	它的地位在 12 世紀漸漸走下坡，主要是因為十字軍已帶著絲綢和香料等伴手禮返回，這些禮物比拜占庭市場賣的東西還有價值。	Its status declined during the twelfth century mainly due to the fact that Crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.
913	10789005872300600667.wav	無需擁有居住社區的當地電話號碼；你可以在阿拉斯加州奇金野外取得衛星網際網路連線，然後選擇一組電話號碼，宣稱你人在陽光普照的亞利桑那州。	There is also no requirement that you obtain a local number from the community in which you live; you can obtain a satellite Internet connection in the wilds of Chicken, Alaska and select a number which claims you're in sunny Arizona.
1446	4658063557482011925.wav	在 1939 年 9 月 17 日之時，波蘭防線已失守，唯一的希望是撤退，並在羅馬尼亞的橋頭堡旁重新整頓。	By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.
249	7038471121315413568.wav	當地時間今天早上 10 點，伊斯蘭聖城麥加有一處旅館倒塌。	
603	18203329520592253273.wav	水是另一個例子。水是由兩個氫原子和一個氧原子組成的。	Water is another example. The compound water is made up of two hydrogen atoms and one oxygen atom.
1108	8975067659073995928.wav	聯軍及阿富汗軍隊已進駐該地區，以維護現場安全，其他聯軍飛機也已出動支援。	Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.
1376	11885161916020818976.wav	這部電影由雷恩·葛斯林和艾瑪·史東主演，並獲得所有主要獎項的提名。	The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.
947	4199405968101736828.wav	白海-波羅的海運河經過奧涅加湖、拉多加湖和聖彼得堡，主要以河川和湖泊將北極海和波羅的海連在一起。	The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes.
554	7475889978114632841.wav	中長跑是一種相對花費較少的運動項目，用以參加此項競技所需的裝備極少，但對於這些裝備則存在著許多錯誤觀念。	Middle distance running is a relatively inexpensive sport; however, there are many misconceptions regarding the few pieces of equipment required to participate.
1299	17631818445094228194.wav	婦女會在院子裡煮飯；商店不過是一個對著大街的櫃檯。當時的人會用石頭建造房屋。	Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.
256	1166727401904843637.wav	10 年後，他帶領阿波羅-聯盟測試計劃中的蘇聯部份，象徵了太空競賽的結束。	Ten years later, he led the Soviet part of the Apollo–Soyuz mission symbolizing that the Space Race was over.
721	17384020032883323556.wav	除了白色沙灘和山岳景觀，這個國家也是美洲最古老的歐式城市的所在地，就是現在是聖多明哥的一部份。	Besides white sand beaches and mountain landscapes, the country is home to the oldest European city in the Americas, now part of Santo Domingo.
478	1959415260181952821.wav	亞歷山大作為國王主動提議出資重建神廟，但他的提議遭到否決。亞歷山大死後，神廟才於公元前 323 年被重建起來。	Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.
773	16017079829705162919.wav	世界博覽會（亦稱萬國博覽會，或簡稱世博會）是一個大型的國際藝術與科學展覽活動。	A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.
95	9537652235238645879.wav	飛機原定由內務部內衛部隊駕駛飛往伊爾庫次克。	The aircraft had been headed to Irkutsk and was being operated by interior troops.
378	10023154029349626306.wav	我們看見的太陽外層稱為「photosphere」，意即「光球」。	"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light""."
850	3310980742412366118.wav	毛利杭吉美食是在地下的熱坑中烹煮。	A Hangi Meal is cooked in a hot pit in the ground.
810	15990023340208695522.wav	溪降（canyoning 或 canyoneering ）是前往峽谷底部的運動，峽谷底可能是乾涸或滿水狀態。	Canyoning (or: canyoneering) is about going in a bottom of a canyon, which is either dry or full of water.
1138	859119802553120555.wav	稍早之前，中國新聞媒體新華社曾報導一架飛機被劫持。	Earlier the Chinese news agency Xinhua reported a plane to be hijacked.
1112	16605060029223334130.wav	由於擔心交通不便，比賽可能被迫在各隊支持者無法到場加油的情況下開打。	Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.
910	15887307367025516263.wav	實際上，區域碼完全無法防止盜版；逐位元複製的光碟可以在任何設備上，如同原版般正常播放。	In fact, region codes have absolutely no effect on illegal copying; a bit-for-bit copy of a disk will play just fine on any device where the original will.
73	6054993903078368776.wav	為此之故，法官、律師、事務律師及檢察官過去幾年來從事過的非法行為也跟著曝光，從而揭發了希臘司法體系的大醜聞。	As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.
1469	1523402952911187850.wav	雷恩‧葛斯林和艾瑪‧史東分別獲提名為最佳男主角和最佳女主角。	Gosling and Stone received nominations for Best Actor and Actress respectively.
450	13960459370464537314.wav	四月左右的雨季後，牠們再次跨過馬拉河，然後經由西部回到北方。	And then back to the north through the west, once again crossing the Mara river, after the rains in around April.
845	379168341082135233.wav	雖然這絕不是現代才有的現象，但提到塗鴉，或許大部分的人想到的都是年輕人用噴漆破壞公共或私人財產。	While it's far from a modern phenomenon, most people probably associate it with youth vandalizing public and private property using spray paint.
624	5889779425407138918.wav	這種成功故事可以減弱對於改變的恐懼，同時讓人更願意接受未來的改變。	Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.
944	9035525740461201013.wav	在異國生活和當志工是接觸不同文化、認識新朋友、了解自己、取得某種看事情的角度，甚至是獲得新技能的一個好方法。	Living and volunteering in a foreign country is a great way to get to know a different culture, meet new people, learn about yourself, get a sense of perspective and even gain new skills.
171	7280648788132576475.wav	州長也表示：「今天，我們得知有些學齡兒童確定曾與病患接觸。」	"The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient."""
441	11848350763110400509.wav	西元 18 世紀中，柬埔寨被夾在兩個強大鄰國間，即泰國和越南。	During the 18th century Cambodia found itself squeezed between two powerful neighbors, Thailand and Vietnam.
664	11052953566185769238.wav	舊金山也是國內品嘗韓國菜、泰國菜、印度菜和日本菜等其他亞洲料理的最佳去處之一。	San Francisco is also one of the best places in the nation for other Asian cuisine: Korean, Thai, Indian, and Japanese.
1026	12845921727106571123.wav	恆星的羅士比數跟電漿的流動有關，必須以光度和自轉來判斷。	The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.
1023	13975584090811877335.wav	害蟲會破壞食物、引發不適，更糟糕的話可能造成過敏反應、散布毒液或傳播傳染病。	Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
1481	17061229925887509024.wav	野生徒步之旅（也稱做叢林漫步﹑野生健行或遠足）包含登山，行程長短可以是幾小時或幾天。	"A walking safari (also called a ""bush walk"", ""hiking safari"", or going ""footing"") consists of hiking, either for a few hours or several days."
469	18120802637245563328.wav	它的大玻璃窗和薄牆無法長時間阻擋猛攻。	Its large glazed windows and thin walls would not have been able to resist a determined attack for long.
1220	3452119699908454853.wav	斯拉尼亞於 1956 年搬到了瑞典。三年後，他開始為瑞典郵政局工作，並成為了他們的首席雕刻師。	In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.
1274	12870335098683881853.wav	雖然在比賽中與南方姊妹們相比確實生疏了些，但隨著比賽的進行，南非隊很穩定地在進步。	Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.
4	15814817890769394887.wav	駕駛員的身分確認是空軍少校帕塔維 (Dilokrit Pattavee)。	The pilot was identified as Squadron Leader Dilokrit Pattavee.
1337	148048779910359914.wav	隨著奧地利、德國、斯洛維尼亞、保加利亞、希臘，和義大利之後，法國是歐盟中第七個遭受這種病毒危害的國家。	France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.
344	10332422703639716047.wav	裸體新聞上週宣布它將推出三個新廣播節目，大幅增加其新聞報導的國際語言授權。	Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.
177	16342653390415581572.wav	她於 2009 年獲頒年度國家教育局長的頭銜。	In 2009 she was awarded the title of National Superintendent of the Year.
776	16474166725033691839.wav	儘管理論上可以年年舉辦（只要辦在不同國家/地區就好了），實際上則不然。	Although in theory they can take place annually (so long as they are in different countries), in practice they are not.
366	9729448033588855519.wav	這是因為如果您在燈泡的金屬底座仍有部份插在插座上時，觸碰到插座內部或其金屬底座，則流入燈泡金屬部份插座的電流，會讓您嚴重觸電。	This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.
529	8845762539853296272.wav	現代運動擊劍具有許多級別。從大學學習的學生，到職業以及奧運競賽都有。	The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.
958	454643371978739918.wav	如果你想飛遍整個南半球，航班和目的地的選擇十分有限的，因為缺乏越洋路線。	If you want to fly around the world completely in the Southern Hemisphere, the choice of flights and destinations is limited due to the lack of transoceanic routes.
467	10942528561988536359.wav	但我們的想像是否基於現實？最初建造城堡的原因是什麼？它們是如何設計和建造的？	But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?
482	1993745889406930298.wav	神祕主義是追求與終極現實、神性、屬靈的真理、或神之間的交流、認同、或意識覺醒。	Mysticism is the pursuit of communion with, identity with, or conscious awareness of an ultimate reality, divinity, spiritual truth, or God.
444	7685814998954273392.wav	委內瑞拉有 18% 的人失業，而大部分受雇的人從事地下經濟的工作。	Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.
1419	13780205193956730973.wav	16 世紀，巴拉圭（之前被稱為「印度的巨型省份」）是因著西班牙征服者和原住民的相遇而誕生的。	"In the 16th century Paraguay, formerly called ""The Giant Province of the Indies"", was born as a result of the encounter of Spanish conquerors with the native indigenous groups."
227	3057667829729289459.wav	人們因為它對宇宙膨脹的影響才確知它的存在。	Its existence is known only because of its effects on the expansion of the universe.
1330	7006213784761675968.wav	維基共享資源 (Commons) 管理師亞當‧庫爾登上個月向維基新聞 (Wikinews) 透露他對刪減的不滿。	Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.
220	17056993339345439340.wav	2004 年奧運銀牌得主阿米爾·汗說：「我深深認為女性不該參與打鬥。這就是我的想法。」	"2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion."""
795	16834932016493365383.wav	準備一份保單影本以及保險公司的聯絡資料並隨身攜帶。	Make and carry copies of your policy and your insurer's contact details with you.
792	18062614176135257251.wav	在超市購買食物通常是餵飽自己最便宜的途徑。但若沒有烹飪的機會，就只能選擇現成的熟食了。	Buying food in supermarkets is usually the cheapest way to get fed. Without cooking opportunities, choices are however limited to ready-made food.
215	4910102901274023666.wav	高爾夫球和英式橄欖球都將重返奧運會。	Both golf and rugby are set to return to the Olympic Games.
391	10678685002814290712.wav	世界上已知最早的書是以梵文撰寫。在完成奧義書後，梵文因階級制度而逐漸消亡。	The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.
556	13098969475414598071.wav	即使產品無法提供真正的好處，運動員仍偏好使用某產品。	Athletes may feel that they prefer a product even when it provides no real benefits.
970	9160012597827936771.wav	看不到企業進入的低度開發是它的魅力之一。步道、火車與船隻串起了村莊，而汽車卻無法從外頭開進這裡。	Part of its charm is the lack of visible corporate development. Paths, trains and boats connect the villages, and cars cannot reach them from the outside.
170	2521679916037417313.wav	佩里明確指出：「全世界幾乎找不到其他地方比我們準備更周全，足以面對這個案例帶來的挑戰。」	"Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case."""
58	6576154205647331134.wav	Ansa 表示，警方憂心最猛烈的數起攻擊恐造成繼任之爭全面爆發。	"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession."
479	4276385937128020203.wav	在正確敲擊所有音符的同時，手部要盡量放鬆，手指也不要有太多不必要的移動。	Make sure your hand is as relaxed as possible while still hitting all the notes correctly - also try not to make much extraneous motion with your fingers.
723	15707960749559752362.wav	在歐洲探險家抵達後的短短幾年內，塔伊諾城的人口遭到西班牙征服者大幅地削減。	Within a few short years following the arrival of European explorers, the population of Tainos had significantly been reduced by the Spanish conquerors
725	14683110239618233768.wav	Jardín de la Unión，是一座 17 世紀修道院修建來作為中庭使用的空間，而聖地牙哥聖殿 (Templo de san Diego) 是該修道院碩果僅存的建築。	Jardín de la Unión. This space was built as the atrium for a 17th-century convent, of which the Templo de San Diego is the sole surviving building.
1246	12447553636030044026.wav	在 2015 年末，TogiNet 成立了 AstroNet 電台，做為其子電台。	In late 2015, TogiNet established AstroNet Radio as a subsidiary station.
527	17455068446480299526.wav	在巴第亞東部的一次伏擊中，英軍俘虜了義大利第十軍團的工兵總隊長拉斯圖奇將軍。	In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.
55	9371938976975618796.wav	澳洲財政部長彼德‧寇斯特洛，同時也是最可能接任約翰‧霍華德總理成為自由黨主席的人選，表示支持澳洲核能產業。	Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.
1427	7068265275515044385.wav	體內中毒可能不會立即顯現。嘔吐之類症狀過於普遍，無法據之做出直接的診斷。	Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made.
824	16099567106717785136.wav	最好是找經常預訂類似旅程的旅行社為您效勞。	It can be better to use an agent who frequently books similar trips to yours.
507	14757625922352287331.wav	只要提供一個網址就可以輕易開啟這個網頁，這對在使用鍵盤或拼字上有困難的學生來說，更容易記憶與輸入。	This page can easily be accessed by providing just one web address, which makes it easy to remember and easy to type in for students who may have trouble using the keyboard or with spelling.
48	12938682716021015393.wav	A1GP 汽車大獎賽紐西蘭隊副駕駛強尼瑞德，今天合法地創下了最快速駕駛通過 48 年歷史的紐西蘭奧克蘭海灣大橋的紀錄。	Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.
1360	18212298570471092486.wav	要在福克蘭群島以外兌換它的貨幣幾乎不可能，所以務必在離開前完成兌換。	It is nearly impossible to exchange Falklands currency outside of the islands, so exchange money prior to leaving the islands.
890	11400097013755135374.wav	南極洲內陸是一片荒蕪的高原，上面覆蓋著 2-3 公里厚的冰層。	Inland Antarctica is a desolate plateau covered by 2-3 km of ice.
11	9065514618686888538.wav	11:29 左右，示威者朝白廳移動，越過特拉法加廣場，沿著河岸街，經過奧德維奇，自金斯威往北朝霍本前進，當時保守黨正於此處的格蘭康納特飯店舉行春季座談會。	Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.
465	16198943267028791174.wav	長期以來，傳統的中世紀城堡激發了人們的想像力，使人想起馬上長槍比武、宴會和亞瑟王時代騎士精神的影像。	The traditional medieval castle has long inspired the imagination, conjuring up images of jousts, banquets and Arthurian chivalry.
92	2900957635318949733.wav	羅汀還說，官方決定取消第兩輪決選，以為阿富汗節省經費並避免再次選舉產生的安全風險。	Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.
267	11909920362609156996.wav	俄羅斯的地面控制中心啟動了噴射口，接著太空站就重新恢復了正常姿態。	
796	16664762370659060041.wav	上面必須記有保險公司的電子郵件地址和國際電話號碼，以便諮詢/授權和申請理賠。	They need to show the insurer's e-mail address and international phone numbers for advice/authorizations and making claims.
1140	15545323723941542287.wav	當然，美國長久以來剝削菲律賓人取得的超高利潤，成為美國帝國主義的基本收穫。	Of course, the superprofits derived from the protracted exploitation of the Filipino people would constitute the basic gains of U.S. imperialism.
306	15640191544669929835.wav	日本柔道選手，也是兩屆奧運金牌得主，齊藤仁 (Hitoshi Saito) 去世，時年 54 歲。	
215	13206526773943983392.wav	高爾夫球和英式橄欖球都將重返奧運會。	Both golf and rugby are set to return to the Olympic Games.
593	18412137020771601220.wav	動物由眾多細胞構成。牠們吃東西並在體內消化。多數動物都能移動。	Animals are made of many cells. They eat things and digest them inside. Most animals can move.
201	14545256810903066833.wav	原為薩菲爾-辛普森颶風風力等級分類中第四級颶風的費莉希亞在星期二消散前減弱為熱帶低氣壓。	Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday.
634	1254102921831885338.wav	如果他是遺失了自己的車鑰匙，並試著強行進入他自己的車子裡，那他應該受到不一樣的審判。	He would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into.
1503	4004664611515219854.wav	歷史上，大部分的農民都從事自給自足農業，且許多開發中國家依舊如此。	Historically most farmers were engaged in subsistence agriculture and this is still the case in many developing nations.
1371	2102877253412669855.wav	星期一晚上 10:08，西蒙大拿發生了有感中度地震。	A moderate earthquake shook western Montana at 10:08 p.m. on Monday.
525	17436011531149957432.wav	影響程度取決於你的腦袋每晚嘗試做清醒夢的頻率。	The effect is dependent on how often your brain attempts to lucidly dream per night.
