1.Reference_Cantonese_Text	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
在短短兩週內，美軍和自由法國軍就解放了南法，並轉向德國。	在短短兩周內美軍和自由法國軍就解放了南法並轉向德國	在 短 短 兩 週 內 美 軍 和 自 由 法 國 軍 就 解 放 了 南 法 並 轉 向 德 國	In just two weeks, the American and Free French forces liberated southern France and turned to Germany.
奧利佛‧薩克斯在他的文章〈總統的演講〉中，指出因為腦部受損而無法理解演講內容的人，仍然可以準確感受到演講者的誠意。	奧尼佛薩克斯在他的文章《總統的演講》中指出因為腦部受選而無法理解演講內容的人仍然可以準確感受到演講者的誠意。	奧 利 佛 ‧薩 克 斯 在 他 的 文 章 〈總 統 的 演 講 〉中 指 出 因 為 腦 部 受 損 而 無 法 理 解 演 講 內 容 的 人 仍 然 可 以 準 確 感 受 到 演 講 者 的 誠 意	In his article, O'Neill Sacks, the president of the TED Talk, points out that people who cannot understand the content of a talk because they are brain-elected can still feel the sincerity of the speaker.
兩名攝影師後來與一名需要如廁的老婦人交換。最後曼多薩被擊斃。	兩名攝影師後來與一名需要如此的老虎人交換最後晚多殺被擊斃	兩 名 攝 影 師 後 來 與 一 名 需 要 如 廁 的 老 婦 人 交 換 最 後 曼 多 薩 被 擊 斃	Two photographers later traded the last night for a tiger who needed to be shot and killed.
史密斯飛船已經取消他們巡迴演唱會的剩餘場次。	史密斯飛船已經取消他們巡迴演唱會的聖餘詳詞。	史 密 斯 飛 船 已 經 取 消 他 們 巡 迴 演 唱 會 的 剩 餘 場 次	Smith's Starship has cancelled the rest of their tour.
該城市與國內的其它城市有明顯差異，因為它偏向擁有阿拉伯而不是非洲風格。	該城市與國內的其他城市有明顯差異因為它偏向擁有亞拉伯而不是非洲風格	該 城 市 與 國 內 的 其 它 城 市 有 明 顯 差 異 因 為 它 偏 向 擁 有 阿 拉 伯 而 不 是 非 洲 風 格	The city is significantly different from other cities in the country because it prefers Arab style to African style.
金字塔的聲光秀對小孩來說是該地區最有趣的東西之一。	今次塔的星光授對小孩來說是該地區最有趣的東西之一	金 字 塔 的 聲 光 秀 對 小 孩 來 說 是 該 地 區 最 有 趣 的 東 西 之 一	This time, the starlighting of the tower is one of the most interesting things about the area for kids.
我們只能好奇，等到又有新發明出現，鍵盤又將何去何從。	望門只能好奇,等到又有新發明出現,見盤又將何去何從。	我 們 只 能 好 奇 等 到 又 有 新 發 明 出 現 鍵 盤 又 將 何 去 何 從	And the doorkeeper is curious, and waiteth for a new invention, and beholdeth what the table is about to bring forth.
美國體操協會和美國奧委會擁有相同的目標，也就是讓體操和其他運動儘可能安全，讓運動員得以在安全、正向和擁有自主權的環境中，追尋自己的夢想。	美國提出協會或奧委會擁有相同的目標也就是讓提出和其他運動盡可能安全讓運動員得意在安全正向和擁有自主的環境中追尋自己的夢想。	美 國 體 操 協 會 和 美 國 奧 委 會 擁 有 相 同 的 目 標 也 就 是 讓 體 操 和 其 他 運 動 儘 可 能 安 全 讓 運 動 員 得 以 在 安 全 、正 向 和 擁 有 自 主 權 的 環 境 中 追 尋 自 己 的 夢 想	The United States' proposed council or Olympic Committee has the same goal: to make it as safe as possible for athletes to pursue their dreams in a safe and independent environment.
聖彼得堡郵輪行程包括城內觀光。船上乘客無須持有簽證 (檢查相關規定)。	性彼得保有輪行程包括城內觀光,純上城下無須持有簽證、檢查相關規定。	聖 彼 得 堡 郵 輪 行 程 包 括 城 內 觀 光 船 上 乘 客 無 須 持 有 簽 證 檢 查 相 關 規 定	The tour includes a tour of the city, and no visa or inspection is required.
大部分現代研究型望遠鏡都是巨大的設施，座落於有大氣條件良好的偏遠地區。	大部份現代研究螢幕遠鏡都是巨大的設施,再落於有大氣條件良好得偏遠地區。	大 部 分 現 代 研 究 型 望 遠 鏡 都 是 巨 大 的 設 施 座 落 於 有 大 氣 條 件 良 好 的 偏 遠 地 區	Most modern telescopes are huge facilities, and they're located in remote areas with good atmospheric conditions.
他補充道：「然而，不應該要求他們承擔超出其發展階段、責任和能力的義務。」	他補充道,然而,不應該要求他們承擔超出其發展階段責任和能力的義務。	他 補 充 道 ：「然 而 不 應 該 要 求 他 們 承 擔 超 出 其 發 展 階 段 、責 任 和 能 力 的 義 務 」	He added, however, that they should not be asked to assume responsibilities beyond their developmental stage and capabilities.
